Activity ID,Pillar,Age Group,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Hashtags,Materials,Steps,Skills
play-creativity-preschooler-3-5-imaginative-play-with-dolls-1,Play & Creativity,Preschooler (3-5),Imaginative Play with Dolls,Build social-emotional understanding via role play,1,Doll Family Adventure,Doll Family Adventure,Build social-emotional understanding via role play,"Use dolls to mimic family routines, helping the child express relationships.",3-5 yrs,15-20 min,#DollPlay;#PretendFamily;#EmotionalGrowth,Doll family set;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Set up a doll family;Roleplay morning routine;Talk about feelings: 'Is the doll happy or sad?';Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Social-emotional understanding;Role play;Family relationships;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-imaginative-play-with-dolls-2,Play & Creativity,Preschooler (3-5),Imaginative Play with Dolls,Build social-emotional understanding via role play,2,Hospital for Dolls,Hospital for Dolls,Practice empathy and care-taking,Create a pretend hospital and care for 'injured' dolls.,3-5 yrs,15 min,#PretendDoctor;#EmpathyDevelopment,Bandages;Toy stethoscope;Dolls;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Use bandages/toy stethoscope;Examine and comfort dolls;Describe what the doll needs to heal;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Empathy;Care-taking;Medical role play;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-imaginative-play-with-dolls-3,Play & Creativity,Preschooler (3-5),Imaginative Play with Dolls,Build social-emotional understanding via role play,3,Dress-Up Fashion Show,Dress-Up Fashion Show,Encourage creativity and fine motor practice,Let kids dress up dolls and host a mini fashion show.,3-5 yrs,20 min,#FashionPlay;#FineMotor;#CreativeKids,Doll clothes;Dolls;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Provide doll clothes;Change outfits;Host 'runway walk' while describing each outfit;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Creativity;Fine motor practice;Fashion awareness;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-imaginative-play-with-dolls-4,Play & Creativity,Preschooler (3-5),Imaginative Play with Dolls,Build social-emotional understanding via role play,4,Dollhouse Stories,Dollhouse Stories,Boost vocabulary and narrative skills,Use a dollhouse to create short scenes and tell mini stories.,3-5 yrs,20 min,#DollhouseTales;#LanguageSkills,Dollhouse;Doll furniture;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Set up dollhouse rooms;Create a scenario like 'dinner time';Act and narrate what each doll is doing;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Vocabulary;Narrative skills;Storytelling;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-imaginative-play-with-dolls-5,Play & Creativity,Preschooler (3-5),Imaginative Play with Dolls,Build social-emotional understanding via role play,5,Puppet Doll Drama,Puppet Doll Drama,Spark creativity and storytelling,Use hand or sock dolls to act out a mini story or moral.,3-5 yrs,15 min,#SockDolls;#Storytelling,Hand or sock puppets;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Create simple sock puppets;Make a story about friendship;Let child invent alternate endings;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Creativity;Storytelling;Moral understanding;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-simple-crafting-6,Play & Creativity,Preschooler (3-5),Simple Crafting,Promote self-expression through crafts,6,Paper Plate Masks,Paper Plate Masks,Promote self-expression through crafts,Use paper plates and art supplies to create expressive masks.,3-5 yrs,15-20 min,#MaskMaking;#CreativePreschool,Paper plates;Crayons;Feathers;Glue;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Cut eye holes in paper plate;Use crayons, feathers, etc.;Let child wear and roleplay;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Self-expression;Crafting;Role play;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-simple-crafting-7,Play & Creativity,Preschooler (3-5),Simple Crafting,Promote self-expression through crafts,7,Pasta Necklace Making,Pasta Necklace Making,Strengthen fine motor skills and color sorting,Use dyed pasta and string to make necklaces.,3-5 yrs,15 min,#FineMotor;#DIYJewelry,Dyed pasta;String;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Dye pasta with food color;Show how to thread onto string;Encourage pattern making;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Fine motor skills;Color sorting;Pattern making;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-simple-crafting-8,Play & Creativity,Preschooler (3-5),Simple Crafting,Promote self-expression through crafts,8,Handprint Art,Handprint Art,Encourage sensory creativity and personal expression,Use painted handprints to make animals or flowers.,3-5 yrs,10-15 min,#HandArt;#MessyFun,Paint;Paper;Markers;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Paint hands with safe colors;Stamp onto paper;Add eyes, stems, etc., with markers;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Sensory creativity;Personal expression;Art techniques;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-simple-crafting-9,Play & Creativity,Preschooler (3-5),Simple Crafting,Promote self-expression through crafts,9,Recycled Robot Craft,Recycled Robot Craft,Introduce sustainability and creative construction,Use boxes and bottle caps to make a robot.,4-5 yrs,20-25 min,#EcoCrafts;#RobotMaking,Cardboard;Bottle caps;Glue;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Collect cardboard and caps;Help glue parts;Decorate and name the robot;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Sustainability;Creative construction;Recycling awareness;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-simple-crafting-10,Play & Creativity,Preschooler (3-5),Simple Crafting,Promote self-expression through crafts,10,Nature Collage,Nature Collage,Explore nature and spatial awareness,"Collect leaves, petals, and arrange into art on paper.",3-5 yrs,15-20 min,#NatureArt;#OutdoorLearning,Leaves;Petals;Paper;Glue;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Go on nature walk;Collect textures (leaves, petals);Glue onto paper to form a collage;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Nature exploration;Spatial awareness;Collage art;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-role-playing-games-11,Play & Creativity,Preschooler (3-5),Role-playing Games,Introduce communication and basic writing,11,Post Office Play,Post Office Play,Introduce communication and basic writing,Pretend to write and deliver letters.,4-5 yrs,20 min,#LetterPlay;#RoleLearning,Small paper;Envelopes;Pencils;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Provide small paper/envelopes;'Write' letters with drawings;Deliver them to rooms/family;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Communication;Basic writing;Role play;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-role-playing-games-12,Play & Creativity,Preschooler (3-5),Role-playing Games,Introduce communication and basic writing,12,Firefighter Roleplay,Firefighter Roleplay,Teach about safety and responsibility,Act as firefighters putting out imaginary fires.,3-5 yrs,15 min,#HeroPlay;#SafetyLearning,Red cap;Water spray bottle;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Use red cap and water spray bottle;'Rescue' toys;Talk about fire safety;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Safety awareness;Responsibility;Hero role play;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-role-playing-games-13,Play & Creativity,Preschooler (3-5),Role-playing Games,Introduce communication and basic writing,13,Restaurant Time,Restaurant Time,Enhance social manners and counting,"Pretend to serve food, take orders, and handle play money.",3-5 yrs,20 min,#ToddlerCafe;#SocialSkills,Toy food;Play money;Table setup;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Set table with toy food;Let child 'take order';Exchange fake money;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Social manners;Counting;Customer service;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-role-playing-games-14,Play & Creativity,Preschooler (3-5),Role-playing Games,Introduce communication and basic writing,14,Travel the World Game,Travel the World Game,Introduce geography and diversity,Pretend to visit countries using toy passport and suitcase.,4-5 yrs,20 min,#WorldExplorer;#GlobalAwareness,Flags;Toy passport;Suitcase;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Print flags, make a pretend passport;'Fly' to countries;Say greetings in new languages;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Geography;Cultural diversity;Language awareness;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-role-playing-games-15,Play & Creativity,Preschooler (3-5),Role-playing Games,Introduce communication and basic writing,15,Zoo Keeper for a Day,Zoo Keeper for a Day,Learn animal facts through dramatic play,Pretend to care for stuffed animals and give tours of the 'zoo'.,3-5 yrs,15 min,#AnimalCare;#PretendZoo,Animal toys;Zoo props;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Line up animal toys;Feed and clean them;Give a tour and explain facts;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Animal knowledge;Caring behavior;Public speaking;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-16,Play & Creativity,Preschooler (3-5),Shape Sorting & Color Matching,Strengthen observation and color identification,16,Color Hunt,Color Hunt,Strengthen observation and color identification,Ask child to find items of a specific color around the house.,3-4 yrs,10 min,#ColorHunt;#ObservationSkills,None required;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Say 'Find something red';Let child bring items;Name and sort;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Observation;Color identification;Sorting;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-17,Play & Creativity,Preschooler (3-5),Shape Sorting & Color Matching,Strengthen observation and color identification,17,Shape Puzzle Fun,Shape Puzzle Fun,Enhance cognitive and visual-spatial skills,Use puzzle pieces with basic shapes and guide child to complete.,3-5 yrs,15 min,#ShapePuzzle;#PreschoolThinking,Simple shape puzzle;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Provide simple shape puzzle;Let child match pieces;Name each shape together;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Cognitive skills;Visual-spatial skills;Shape recognition;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-18,Play & Creativity,Preschooler (3-5),Shape Sorting & Color Matching,Strengthen observation and color identification,18,Color Wheel Creation,Color Wheel Creation,Improve color mixing and creative matching,Use paper plate to make a color wheel and decorate it.,4-5 yrs,15-20 min,#ColorCraft;#MixingColors,Paper plate;Colored stickers;Markers;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Draw color sections;Match colored stickers or objects;Discuss how colors relate;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Color mixing;Creative matching;Color relationships;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-19,Play & Creativity,Preschooler (3-5),Shape Sorting & Color Matching,Strengthen observation and color identification,19,Match & Toss Game,Match & Toss Game,Add movement to sorting skills,Toss matching colored balls into corresponding buckets.,3-4 yrs,10-15 min,#MovementLearning;#ColorToss,Colored bins;Colored balls;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Place colored bins;Hand child colored balls;Toss into correct bin;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Movement;Sorting skills;Hand-eye coordination;Material management;Progress tracking;Resource sharing
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-20,Play & Creativity,Preschooler (3-5),Shape Sorting & Color Matching,Strengthen observation and color identification,20,DIY Sorting Board,DIY Sorting Board,Boost logic and problem-solving,Create board with cut-out shapes for matching.,3-5 yrs,15 min,#PreschoolSTEM;#LogicalPlay,Cardboard;Paper shapes;Scissors;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Cut paper shapes;Child matches to board outlines;Discuss sizes and colors;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Logic;Problem-solving;Shape matching;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-creative-storytelling-1,Play & Creativity,Child (6-8),Creative Storytelling,Improve narrative structure and creative writing,1,Story Dice Adventure,Story Dice Adventure,Improve narrative structure and creative writing,Use dice with pictures/symbols to create short stories.,6-8 yrs,20 min,#Storytelling;#CreativeWriting;#DicePlay,Story dice;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Roll story dice;Pick 3-5 icons;Build a story using them;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Narrative structure;Creative writing;Story building;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-creative-storytelling-2,Play & Creativity,Child (6-8),Creative Storytelling,Improve narrative structure and creative writing,2,Comic Strip Creation,Comic Strip Creation,Enhance visual literacy and sequencing,Let children create their own comic strip stories with drawings.,6-8 yrs,25-30 min,#ComicsForKids;#StoryArt,Paper;Markers;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Fold paper into panels;Draw scenes and add dialogue;Share with peers or parents;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Visual literacy;Sequencing;Storytelling;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-creative-storytelling-3,Play & Creativity,Child (6-8),Creative Storytelling,Improve narrative structure and creative writing,3,Superhero Journal,Superhero Journal,Build empathy and imagination,Ask child to invent a superhero and write their daily journal.,6-8 yrs,20 min,#ImaginativeWriting;#SuperheroPlay,Paper;Pencils;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Create superhero name and powers;Write one journal entry: 'Today I saved…';Draw a picture;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Empathy;Imagination;Creative writing;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-creative-storytelling-4,Play & Creativity,Child (6-8),Creative Storytelling,Improve narrative structure and creative writing,4,Story Jigsaw Puzzle,Story Jigsaw Puzzle,Boost sequencing and critical thinking,Mix parts of a known story and have child arrange them correctly.,6-8 yrs,15 min,#PuzzlePlay;#NarrativeSkills,Printed story sections;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Cut printed story into sections;Mix up order;Child rearranges it correctly and retells the story;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Sequencing;Critical thinking;Story comprehension;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-creative-storytelling-5,Play & Creativity,Child (6-8),Creative Storytelling,Improve narrative structure and creative writing,5,Rewrite a Fairytale,Rewrite a Fairytale,Foster creativity and understanding of story elements,Take a classic tale and change one major part.,6-8 yrs,20-25 min,#FairytaleRemix;#CreativeChild,Classic fairytale;Paper;Pencils;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Pick a story like 'Red Riding Hood';Ask 'What if the wolf was kind?';Write or tell the new version;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Creativity;Story elements;Critical thinking;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-advanced-drawing-and-painting-6,Play & Creativity,Child (6-8),Advanced Drawing & Painting,Explore texture and detail in art,6,Texture Rubbings,Texture Rubbings,Explore texture and detail in art,"Use leaves, coins, or textured surfaces for rubbings.",6-8 yrs,15-20 min,#ArtTexture;#CreativeDrawing,Leaves;Coins;Crayons;Paper;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Place paper on object;Rub with crayons sideways;Create a texture collage;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Texture exploration;Art techniques;Observation;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-advanced-drawing-and-painting-7,Play & Creativity,Child (6-8),Advanced Drawing & Painting,Explore texture and detail in art,7,Still-Life Sketching,Still-Life Sketching,Improve observation and shading,"Draw real-life objects like fruits, toys with pencil or charcoal.",6-8 yrs,20-30 min,#Sketching;#ObservationSkills,Pencil;Charcoal;Objects;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Set objects on table;Observe shadows and edges;Sketch and shade details;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Observation;Shading;Art techniques;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-advanced-drawing-and-painting-8,Play & Creativity,Child (6-8),Advanced Drawing & Painting,Explore texture and detail in art,8,Watercolor Exploration,Watercolor Exploration,Understand color blending and water usage,"Use watercolors to paint shapes, patterns, or nature scenes.",6-8 yrs,20 min,#WatercolorArt;#ArtExploration,Watercolors;Brushes;Paper;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Provide watercolors and brushes;Mix colors and create gradient;Paint a simple scene;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Color blending;Water usage;Art techniques;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-advanced-drawing-and-painting-9,Play & Creativity,Child (6-8),Advanced Drawing & Painting,Explore texture and detail in art,9,Perspective Drawing,Perspective Drawing,Introduce 3D perception in drawing,Teach vanishing points and depth using buildings or roads.,7-8 yrs,25-30 min,#PerspectiveArt;#SpatialThinking,Pencil;Ruler;Paper;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Draw horizon and vanishing point;Add road/buildings;Use lines to show depth;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,3D perception;Spatial thinking;Art techniques;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-advanced-drawing-and-painting-10,Play & Creativity,Child (6-8),Advanced Drawing & Painting,Explore texture and detail in art,10,Emotion Art Faces,Emotion Art Faces,Connect feelings with expression,Draw faces expressing different emotions and label them.,6-8 yrs,15-20 min,#EmotionArt;#SELArt,Paper;Markers;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Fold paper into 4;Draw happy, sad, angry, surprised faces;Discuss each one;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Emotional expression;Art techniques;Social-emotional learning;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-diy-craft-projects-11,Play & Creativity,Child (6-8),DIY Craft Projects,Develop planning and spatial reasoning,11,Marble Maze Challenge,Marble Maze Challenge,Develop planning and spatial reasoning,"Create a maze using cardboard, straws, and marbles.",6-8 yrs,25-30 min,#STEMCraft;#MazePlay,Cardboard;Straws;Marbles;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Draw maze path;Glue straws along path;Test marble through maze;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Planning;Spatial reasoning;Problem solving;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-diy-craft-projects-12,Play & Creativity,Child (6-8),DIY Craft Projects,Develop planning and spatial reasoning,12,Paper Roller Coaster,Paper Roller Coaster,Teach basic engineering and cause-effect,Build a roller coaster from paper rolls and ramps.,6-8 yrs,30-40 min,#PaperEngineering;#CreativeBuilding,Paper towel rolls;Tape;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Use paper towel rolls and tape;Design paths and slopes;Roll small ball through;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Engineering;Cause and effect;Creative building;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-diy-craft-projects-13,Play & Creativity,Child (6-8),DIY Craft Projects,Develop planning and spatial reasoning,13,Friendship Bracelets,Friendship Bracelets,Practice patterns and social bonding,Weave bracelets using colorful threads for friends/family.,6-8 yrs,20 min,#FriendshipCraft;#PatternMaking,Colorful threads;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Choose 3-4 thread colors;Teach basic braid/knot;Make and gift it;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Pattern making;Social bonding;Fine motor skills;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-diy-craft-projects-14,Play & Creativity,Child (6-8),DIY Craft Projects,Develop planning and spatial reasoning,14,Popsicle Stick Bridge,Popsicle Stick Bridge,Learn about structure and balance,Create a bridge using popsicle sticks and glue.,6-8 yrs,30 min,#STEMArt;#CreativeStructure,Popsicle sticks;Glue;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Plan bridge design;Build using sticks and glue;Test with light weights;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Structure understanding;Balance;Engineering;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-diy-craft-projects-15,Play & Creativity,Child (6-8),DIY Craft Projects,Develop planning and spatial reasoning,15,Light-Up Greeting Card,Light-Up Greeting Card,Mix art with simple electronics,Create a card that lights up using LED and coin cell.,7-8 yrs,30 min,#STEAM;#CircuitArt,LED;Coin cell;Copper tape;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Design card front;Add LED + copper tape inside;Close circuit with battery;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Electronics basics;Art integration;STEAM learning;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-inventing-games-16,Play & Creativity,Child (6-8),Inventing Games,Improve physical agility and sequencing,16,Backyard Obstacle Course,Backyard Obstacle Course,Improve physical agility and sequencing,Create a DIY obstacle course using household items.,6-8 yrs,20 min,#ActivePlay;#ObstacleChallenge,Cones;Chairs;Ropes;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Use cones/chairs/ropes for path;Time each run;Modify to increase difficulty;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Physical agility;Sequencing;Problem solving;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-inventing-games-17,Play & Creativity,Child (6-8),Inventing Games,Improve physical agility and sequencing,17,Dice Math Race,Dice Math Race,Combine movement and math learning,"Roll dice, solve equation, and do physical activity.",6-8 yrs,15-20 min,#MathPlay;#Movement,Dice;Jump rope;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Roll 2 dice and add/subtract;If correct, jump rope 5 times;Repeat with variations;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Math learning;Movement;Problem solving;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-inventing-games-18,Play & Creativity,Child (6-8),Inventing Games,Improve physical agility and sequencing,18,Create-a-Game Challenge,Create-a-Game Challenge,Boost game design thinking and creativity,Ask the child to design a new board or card game.,6-8 yrs,30-40 min,#GameDesign;#ImaginativeThinking,Dice;Cards;Board;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Provide materials (dice, cards, board);Let child define rules;Playtest together;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Game design;Creative thinking;Rule making;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-inventing-games-19,Play & Creativity,Child (6-8),Inventing Games,Improve physical agility and sequencing,19,Recycled Board Game,Recycled Board Game,Learn sustainability with design,Use waste materials to build a game board and pieces.,6-8 yrs,25-30 min,#EcoGame;#SustainableLearning,Cardboard;Bottle caps;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Collect cardboard, bottle caps;Create game path and pieces;Make rule sheet;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Sustainability;Design thinking;Creative reuse;Material management;Progress tracking;Resource sharing
play-creativity-child-6-8-inventing-games-20,Play & Creativity,Child (6-8),Inventing Games,Improve physical agility and sequencing,20,Vocabulary Treasure Hunt,Vocabulary Treasure Hunt,Strengthen language and thinking skills,Hide words around the house and give clues.,6-8 yrs,20 min,#WordGame;#ScavengerHunt,Flashcards;New words;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Hide flashcards with new words;Give clues to find them;Use words in a sentence;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Language skills;Thinking skills;Vocabulary building;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-design-thinking-for-toys-1,Play & Creativity,Pre-Teen (9-12),Design Thinking for Toys,Develop empathy and problem-solving via redesign,1,Toy Redesign Challenge,Toy Redesign Challenge,Develop empathy and problem-solving via redesign,"Pick a toy and improve it with new features, usability, or safety.",9-12 yrs,45-60 min,#ToyDesign;#CreativeRedesign,"Common toy (e.g., spinner);Sketch materials;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us)","Pick a common toy (e.g., spinner);Identify what's missing;Sketch or prototype an improved version;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Empathy;Problem-solving;Design thinking;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-design-thinking-for-toys-2,Play & Creativity,Pre-Teen (9-12),Design Thinking for Toys,Develop empathy and problem-solving via redesign,2,Toy for a Different Age,Toy for a Different Age,Practice age-specific creativity,Redesign a toddler toy for a teenager or vice versa.,9-12 yrs,40-50 min,#UserCenteredDesign;#ToyReimagine,Toy meant for different age;Design materials;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),Choose a toy meant for a different age;Reimagine it with added complexity or safety;Present your idea;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete,Age-specific creativity;User-centered design;Presentation skills;Material management;Progress tracking;Resource sharing
play-creativity-pre-teen-9-12-design-thinking-for-toys-3,Play & Creativity,Pre-Teen (9-12),Design Thinking for Toys,Develop empathy and problem-solving via redesign,3,Problem-Solving Prototype,Problem-Solving Prototype,Build innovation from a real-life problem,Create a toy that solves a unique or silly everyday challenge.,9-12 yrs,60 min,#InventivePlay;#ToyChallenge,Cardboard;Basic materials;Activity kit (supplied by us);Step-by-step guide (supplied by us);Progress tracking sheet (supplied by us),"Think of a problem (e.g., toy keeps falling);Sketch toy solution;Build a basic model with cardboard;Use materials from our activity kit;Follow our step-by-step guide;Track progress on our tracking sheet;Return materials when activity is complete",Innovation;Problem identification;Prototyping;Material management;Progress tracking;Resource sharing
