Activity ID,Pillar,Age Group,Difficulty Level,Activity Type,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Setup Time,Supervision Level,Materials,Kit Materials,Steps,General Instructions,Skills,Hashtags,Last Updated,Feedback,Updated By,Last Synced,Materials at Home,Materials to Buy for Kit
play-creativity-toddler-1-3-drawing-and-scribbling-4,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,4,Magic Water Drawing,Magic Water Drawing,Explore mess-free creativity,Use reusable water drawing pads for mess-free doodling. Explore mess-free creativity.,1.5-3 yrs,10 min,5-10 min,High,Water-drawing mat; Water pen,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Give toddler a water-drawing mat; Let them use pen with water; Watch color appear like magic,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Mess-free creativity, Water exploration, Color discovery","#WaterArt, #MessFreeArt",2025-09-27,,Tharun,2025-09-27 11:12:02,Water-drawing mat; Water pen,None needed
play-creativity-toddler-1-3-drawing-and-scribbling-5,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,5,Rainbow Scribbles,Rainbow Scribbles,Learn color names and explore blending,Offer multiple color crayons and guide scribbling with naming colors. Learn color names and explore blending.,2-3 yrs,10 min,5-10 min,High,Rainbow-colored crayons; Paper,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Offer rainbow-colored crayons; Say color names while scribbling; Blend colors and let child explore,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Color learning, Color blending, Creative exploration","#ColorLearning, #ToddlerScribbles",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Rainbow-colored crayons
play-creativity-toddler-1-3-exploring-musical-instruments-1,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,1,Drumbeat Dance,Drumbeat Dance,Build rhythm and gross motor coordination,Play drum beats and let toddler dance/move with the rhythm. Build rhythm and gross motor coordination.,2-3 yrs,10-15 min,5-10 min,High,Drum or tambourine; Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Play a drum or tambourine; Say 'Move with the beat!'; Let child clap, stomp or jump along",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Rhythm, Gross motor coordination, Musical movement","#RhythmPlay, #DanceAndDrum",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Drum or tambourine
play-creativity-toddler-1-3-exploring-musical-instruments-2,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,2,Sound Matching Game,Sound Matching Game,Improve listening and memory skills,Play two different instrument sounds and have the toddler match them. Improve listening and memory skills.,2-3 yrs,10 min,5-10 min,High,Two different instruments (bell and shaker); Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Play 2 instruments (e.g., bell and shaker); Hide one, play it again; Ask child to match",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Listening skills, Memory, Sound recognition","#SoundMemory, #MusicalPairs",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Two different instruments (bell and shaker)
play-creativity-toddler-1-3-exploring-musical-instruments-3,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,3,Kitchen Band Jam,Kitchen Band Jam,Encourage spontaneous music-making using household items,"Use pots, spoons, tins as instruments for a fun jam session. Encourage spontaneous music-making using household items.",1.5-3 yrs,15 min,5-10 min,High,"Pots, pans, wooden spoons; Safe toys; Soft play area",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Hand out pots, pans, and wooden spoons; Create a beat; Let toddler join and lead the band",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Spontaneous music-making, Rhythm creation, Kitchen creativity","#KitchenInstruments, #ToddlerBand",2025-09-27,,Tharun,2025-09-27 11:12:02,"Pots, pans, wooden spoons",None needed
play-creativity-toddler-1-3-exploring-musical-instruments-4,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,4,Musical Parade,Musical Parade,Combine movement and sound creation,March around the house playing instruments as a parade. Combine movement and sound creation.,2-3 yrs,10 min,5-10 min,High,Various instruments; Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Give each child an instrument; March and play around room; Stop and go to add fun,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Movement and music, Parade coordination, Group play","#ToddlerParade, #MarchAndPlay",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Various instruments
play-creativity-toddler-1-3-exploring-musical-instruments-5,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,5,Name That Instrument,Name That Instrument,Associate instruments with sound identity,Play instrument sounds and ask the child to guess or name the instrument. Associate instruments with sound identity.,2.5-3 yrs,10 min,5-10 min,High,Various instruments; Safe toys; Soft play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Play each instrument sound; Ask child 'Which one is this?'; Show instrument after guess and play again,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Sound identification, Instrument recognition, Musical vocabulary","#InstrumentSounds, #GuessTheMusic",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Various instruments
play-creativity-preschooler-3-5-imaginative-play-with-dolls-1,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,1,Doll Family Adventure,Doll Family Adventure,Build social-emotional understanding via role play,"Use dolls to mimic family routines, helping the child express relationships. Build social-emotional understanding via role play.",3-5 yrs,15-20 min,5-10 min,Medium,Doll family set; Paper; Markers,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Set up a doll family; Roleplay morning routine; Talk about feelings: 'Is the doll happy or sad?',Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Social-emotional understanding, Role play, Family relationships","#DollPlay, #PretendFamily, #EmotionalGrowth",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Doll family set
play-creativity-preschooler-3-5-imaginative-play-with-dolls-2,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,2,Hospital for Dolls,Hospital for Dolls,Practice empathy and care-taking,Create a pretend hospital and care for 'injured' dolls. Practice empathy and care-taking.,3-5 yrs,15 min,5-10 min,Medium,Bandages; Toy stethoscope; Dolls,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use bandages/toy stethoscope; Examine and comfort dolls; Describe what the doll needs to heal,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Empathy, Care-taking, Medical role play","#PretendDoctor, #EmpathyDevelopment",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Bandages; Toy stethoscope; Dolls
play-creativity-preschooler-3-5-imaginative-play-with-dolls-3,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,3,Dress-Up Fashion Show,Dress-Up Fashion Show,Encourage creativity and fine motor practice,Let kids dress up dolls and host a mini fashion show. Encourage creativity and fine motor practice.,3-5 yrs,20 min,5-10 min,Medium,Doll clothes; Dolls,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Provide doll clothes; Change outfits; Host 'runway walk' while describing each outfit,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Creativity, Fine motor practice, Fashion awareness","#FashionPlay, #FineMotor, #CreativeKids",2025-09-27,,Tharun,2025-09-27 11:12:02,Doll clothes,Dolls
play-creativity-preschooler-3-5-imaginative-play-with-dolls-4,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,4,Dollhouse Stories,Dollhouse Stories,Boost vocabulary and narrative skills,Use a dollhouse to create short scenes and tell mini stories. Boost vocabulary and narrative skills.,3-5 yrs,20 min,5-10 min,Medium,Dollhouse; Doll furniture,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Set up dollhouse rooms; Create a scenario like 'dinner time'; Act and narrate what each doll is doing,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Vocabulary, Narrative skills, Storytelling","#DollhouseTales, #LanguageSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Dollhouse; Doll furniture
play-creativity-preschooler-3-5-imaginative-play-with-dolls-5,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,5,Puppet Doll Drama,Puppet Doll Drama,Spark creativity and storytelling,Use hand or sock dolls to act out a mini story or moral. Spark creativity and storytelling.,3-5 yrs,15 min,5-10 min,Medium,Hand or sock puppets; Paper; Markers,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Create simple sock puppets; Make a story about friendship; Let child invent alternate endings,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Creativity, Storytelling, Moral understanding","#SockDolls, #Storytelling",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Hand or sock puppets
play-creativity-preschooler-3-5-simple-crafting-6,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,6,Paper Plate Masks,Paper Plate Masks,Promote self-expression through crafts,Use paper plates and art supplies to create expressive masks. Promote self-expression through crafts.,3-5 yrs,15-20 min,5-10 min,Medium,Paper plates; Crayons; Feathers; Glue,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Cut eye holes in paper plate; Use crayons, feathers, etc.; Let child wear and roleplay",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Self-expression, Crafting, Role play","#MaskMaking, #CreativePreschool",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper plates,Crayons; Feathers; Glue
play-creativity-preschooler-3-5-simple-crafting-7,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,7,Pasta Necklace Making,Pasta Necklace Making,Strengthen fine motor skills and color sorting,Use dyed pasta and string to make necklaces. Strengthen fine motor skills and color sorting.,3-5 yrs,15 min,5-10 min,Medium,Dyed pasta; String,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Dye pasta with food color; Show how to thread onto string; Encourage pattern making,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Fine motor skills, Color sorting, Pattern making","#FineMotor, #DIYJewelry",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Dyed pasta; String
play-creativity-preschooler-3-5-simple-crafting-8,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,8,Handprint Art,Handprint Art,Encourage sensory creativity and personal expression,Use painted handprints to make animals or flowers. Encourage sensory creativity and personal expression.,3-5 yrs,10-15 min,5-10 min,Medium,Paint; Paper; Markers,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Paint hands with safe colors; Stamp onto paper; Add eyes, stems, etc., with markers",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Sensory creativity, Personal expression, Art techniques","#HandArt, #MessyFun",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Paint; Markers
play-creativity-preschooler-3-5-simple-crafting-9,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,9,Recycled Robot Craft,Recycled Robot Craft,Introduce sustainability and creative construction,Use boxes and bottle caps to make a robot. Introduce sustainability and creative construction.,4-5 yrs,20-25 min,5-10 min,Medium,Cardboard; Bottle caps; Glue,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Collect cardboard and caps; Help glue parts; Decorate and name the robot,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Sustainability, Creative construction, Recycling awareness","#EcoCrafts, #RobotMaking",2025-09-27,,Tharun,2025-09-27 11:12:02,Cardboard; Bottle caps,Glue
play-creativity-preschooler-3-5-simple-crafting-10,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,10,Nature Collage,Nature Collage,Explore nature and spatial awareness,"Collect leaves, petals, and arrange into art on paper. Explore nature and spatial awareness.",3-5 yrs,15-20 min,5-10 min,Medium,Leaves; Petals; Paper; Glue,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Go on nature walk; Collect textures (leaves, petals); Glue onto paper to form a collage",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Nature exploration, Spatial awareness, Collage art","#NatureArt, #OutdoorLearning",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Leaves; Petals; Glue
play-creativity-preschooler-3-5-role-playing-games-11,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,11,Post Office Play,Post Office Play,Introduce communication and basic writing,Pretend to write and deliver letters. Introduce communication and basic writing.,4-5 yrs,20 min,5-10 min,Medium,Small paper; Envelopes; Pencils,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Provide small paper/envelopes; 'Write' letters with drawings; Deliver them to rooms/family,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Communication, Basic writing, Role play","#LetterPlay, #RoleLearning",2025-09-27,,Tharun,2025-09-27 11:12:02,Small paper,Envelopes; Pencils
play-creativity-preschooler-3-5-role-playing-games-12,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,12,Firefighter Roleplay,Firefighter Roleplay,Teach about safety and responsibility,Act as firefighters putting out imaginary fires. Teach about safety and responsibility.,3-5 yrs,15 min,5-10 min,Medium,Red cap; Water spray bottle,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use red cap and water spray bottle; 'Rescue' toys; Talk about fire safety,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Safety awareness, Responsibility, Hero role play","#HeroPlay, #SafetyLearning",2025-09-27,,Tharun,2025-09-27 11:12:02,Water spray bottle,Red cap
play-creativity-preschooler-3-5-role-playing-games-13,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,13,Restaurant Time,Restaurant Time,Enhance social manners and counting,"Pretend to serve food, take orders, and handle play money. Enhance social manners and counting.",3-5 yrs,20 min,5-10 min,Medium,Toy food; Play money; Table setup,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Set table with toy food; Let child 'take order'; Exchange fake money,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Social manners, Counting, Customer service","#ToddlerCafe, #SocialSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,Table setup,Toy food; Play money
play-creativity-preschooler-3-5-role-playing-games-14,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,14,Travel the World Game,Travel the World Game,Introduce geography and diversity,Pretend to visit countries using toy passport and suitcase. Introduce geography and diversity.,4-5 yrs,20 min,5-10 min,Medium,Flags; Toy passport; Suitcase,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),"Print flags, make a pretend passport; 'Fly' to countries; Say greetings in new languages",Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Geography, Cultural diversity, Language awareness","#WorldExplorer, #GlobalAwareness",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Flags; Toy passport; Suitcase
play-creativity-preschooler-3-5-role-playing-games-15,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,15,Zoo Keeper for a Day,Zoo Keeper for a Day,Learn animal facts through dramatic play,Pretend to care for stuffed animals and give tours of the 'zoo'. Learn animal facts through dramatic play.,3-5 yrs,15 min,5-10 min,Medium,Animal toys; Zoo props,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Line up animal toys; Feed and clean them; Give a tour and explain facts,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Animal knowledge, Caring behavior, Public speaking","#AnimalCare, #PretendZoo",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Animal toys; Zoo props
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-16,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,16,Color Hunt,Color Hunt,Strengthen observation and color identification,Ask child to find items of a specific color around the house. Strengthen observation and color identification.,3-4 yrs,10 min,5-10 min,Medium,None required; Paper; Markers,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Say 'Find something red'; Let child bring items; Name and sort,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Observation, Color identification, Sorting","#ColorHunt, #ObservationSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-17,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,17,Shape Puzzle Fun,Shape Puzzle Fun,Enhance cognitive and visual-spatial skills,Use puzzle pieces with basic shapes and guide child to complete. Enhance cognitive and visual-spatial skills.,3-5 yrs,15 min,5-10 min,Medium,Simple shape puzzle; Paper; Markers,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Provide simple shape puzzle; Let child match pieces; Name each shape together,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Cognitive skills, Visual-spatial skills, Shape recognition","#ShapePuzzle, #PreschoolThinking",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Simple shape puzzle
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-18,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,18,Color Wheel Creation,Color Wheel Creation,Improve color mixing and creative matching,Use paper plate to make a color wheel and decorate it. Improve color mixing and creative matching.,4-5 yrs,15-20 min,5-10 min,Medium,Paper plate; Colored stickers; Markers,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Draw color sections; Match colored stickers or objects; Discuss how colors relate,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Color mixing, Creative matching, Color relationships","#ColorCraft, #MixingColors",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper plate,Colored stickers; Markers
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-19,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,19,Match & Toss Game,Match & Toss Game,Add movement to sorting skills,Toss matching colored balls into corresponding buckets. Add movement to sorting skills.,3-4 yrs,10-15 min,5-10 min,Medium,Colored bins; Colored balls,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Place colored bins; Hand child colored balls; Toss into correct bin,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Movement, Sorting skills, Hand-eye coordination","#MovementLearning, #ColorToss",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Colored bins; Colored balls
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-20,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,20,DIY Sorting Board,DIY Sorting Board,Boost logic and problem-solving,Create board with cut-out shapes for matching. Boost logic and problem-solving.,3-5 yrs,15 min,5-10 min,Medium,Cardboard; Paper shapes; Scissors,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Cut paper shapes; Child matches to board outlines; Discuss sizes and colors,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Logic, Problem-solving, Shape matching","#PreschoolSTEM, #LogicalPlay",2025-09-27,,Tharun,2025-09-27 11:12:02,Cardboard; Paper shapes,Scissors
play-creativity-child-6-8-creative-storytelling-1,Play & Creativity,Child (6-8),Intermediate,,Creative Storytelling,Improve narrative structure and creative writing,1,Story Dice Adventure,Story Dice Adventure,Improve narrative structure and creative writing,Use dice with pictures/symbols to create short stories. Improve narrative structure and creative writing.,6-8 yrs,20 min,5-10 min,Medium,Story dice; Basic materials; Safe play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Roll story dice; Pick 3-5 icons; Build a story using them,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Narrative structure, Creative writing, Story building","#Storytelling, #CreativeWriting, #DicePlay",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Story dice
play-creativity-child-6-8-creative-storytelling-2,Play & Creativity,Child (6-8),Intermediate,,Creative Storytelling,Improve narrative structure and creative writing,2,Comic Strip Creation,Comic Strip Creation,Enhance visual literacy and sequencing,Let children create their own comic strip stories with drawings. Enhance visual literacy and sequencing.,6-8 yrs,25-30 min,5-10 min,Medium,Paper; Markers,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Fold paper into panels; Draw scenes and add dialogue; Share with peers or parents,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Visual literacy, Sequencing, Storytelling","#ComicsForKids, #StoryArt",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Markers
play-creativity-child-6-8-creative-storytelling-3,Play & Creativity,Child (6-8),Intermediate,,Creative Storytelling,Improve narrative structure and creative writing,3,Superhero Journal,Superhero Journal,Build empathy and imagination,Ask child to invent a superhero and write their daily journal. Build empathy and imagination.,6-8 yrs,20 min,5-10 min,Medium,Paper; Pencils,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Create superhero name and powers; Write one journal entry: 'Today I saved…'; Draw a picture,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Empathy, Imagination, Creative writing","#ImaginativeWriting, #SuperheroPlay",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Pencils
play-creativity-child-6-8-creative-storytelling-4,Play & Creativity,Child (6-8),Intermediate,,Creative Storytelling,Improve narrative structure and creative writing,4,Story Jigsaw Puzzle,Story Jigsaw Puzzle,Boost sequencing and critical thinking,Mix parts of a known story and have child arrange them correctly. Boost sequencing and critical thinking.,6-8 yrs,15 min,5-10 min,Medium,Printed story sections; Basic materials; Safe play area,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Cut printed story into sections; Mix up order; Child rearranges it correctly and retells the story,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Sequencing, Critical thinking, Story comprehension","#PuzzlePlay, #NarrativeSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Printed story sections
play-creativity-child-6-8-creative-storytelling-5,Play & Creativity,Child (6-8),Intermediate,,Creative Storytelling,Improve narrative structure and creative writing,5,Rewrite a Fairytale,Rewrite a Fairytale,Foster creativity and understanding of story elements,Take a classic tale and change one major part. Foster creativity and understanding of story elements.,6-8 yrs,20-25 min,5-10 min,Medium,Classic fairytale; Paper; Pencils,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Pick a story like 'Red Riding Hood'; Ask 'What if the wolf was kind?'; Write or tell the new version,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Creativity, Story elements, Critical thinking","#FairytaleRemix, #CreativeChild",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Classic fairytale; Pencils
play-creativity-child-6-8-advanced-drawing-and-painting-6,Play & Creativity,Child (6-8),Intermediate,,Advanced Drawing & Painting,Explore texture and detail in art,6,Texture Rubbings,Texture Rubbings,Explore texture and detail in art,"Use leaves, coins, or textured surfaces for rubbings. Explore texture and detail in art.",6-8 yrs,15-20 min,5-10 min,Medium,Leaves; Coins; Crayons; Paper,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Place paper on object; Rub with crayons sideways; Create a texture collage,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Texture exploration, Art techniques, Observation","#ArtTexture, #CreativeDrawing",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Leaves; Coins; Crayons
play-creativity-child-6-8-advanced-drawing-and-painting-7,Play & Creativity,Child (6-8),Intermediate,,Advanced Drawing & Painting,Explore texture and detail in art,7,Still-Life Sketching,Still-Life Sketching,Improve observation and shading,"Draw real-life objects like fruits, toys with pencil or charcoal. Improve observation and shading.",6-8 yrs,20-30 min,5-10 min,Medium,Pencil; Charcoal; Objects,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Set objects on table; Observe shadows and edges; Sketch and shade details,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Observation, Shading, Art techniques","#Sketching, #ObservationSkills",2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Pencil; Charcoal; Objects
play-creativity-child-6-8-advanced-drawing-and-painting-8,Play & Creativity,Child (6-8),Intermediate,,Advanced Drawing & Painting,Explore texture and detail in art,8,Watercolor Exploration,Watercolor Exploration,Understand color blending and water usage,"Use watercolors to paint shapes, patterns, or nature scenes. Understand color blending and water usage.",6-8 yrs,20 min,5-10 min,Medium,Watercolors; Brushes; Paper,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Provide watercolors and brushes; Mix colors and create gradient; Paint a simple scene,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"Color blending, Water usage, Art techniques","#WatercolorArt, #ArtExploration",2025-09-27,,Tharun,2025-09-27 11:12:02,Watercolors; Paper,Brushes
play-creativity-child-6-8-advanced-drawing-and-painting-9,Play & Creativity,Child (6-8),Intermediate,,Advanced Drawing & Painting,Explore texture and detail in art,9,Perspective Drawing,Perspective Drawing,Introduce 3D perception in drawing,Teach vanishing points and depth using buildings or roads. Introduce 3D perception in drawing.,7-8 yrs,25-30 min,5-10 min,Medium,Pencil; Ruler; Paper,Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Draw horizon and vanishing point; Add road/buildings; Use lines to show depth,Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,"3D perception, Spatial thinking, Art techniques","#PerspectiveArt, #SpatialThinking",2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Pencil; Ruler
