Activity ID,Pillar,Age Group,Difficulty Level,Activity Type,Category,Category Description,Topic Number,Topic,Activity Name,Objective,Explanation,Age,Estimated Time,Setup Time,Supervision Level,Materials,Additional Information,Steps,Skills,Hashtags,Kit Materials,General Instructions,Last Updated,Feedback,Updated By,Last Synced,Materials at Home,Materials to Buy for Kit
play-creativity-toddler-1-3-building-with-blocks-5,Play & Creativity,Toddler (1-3),Beginner,,Building with Blocks,Improve hand-eye coordination and balance,5,Story Building,Story Building,Combine storytelling with physical building,Narrate a simple story and build scenes with blocks as the story progresses. Combine storytelling with physical building.,2-3 yrs,15 min,5-10 min,High,Building blocks,Safe toys; Soft play area,Start a simple story and let them add details; Ask questions: 'What happens next?' or 'Who is the character?'; Let them create their own story elements; Write down or draw their story if they want; Act out parts of the story together; Save their story to tell again later,"Storytelling, Sequential building, Imagination","#StoryBlocks, #BuildAndTell",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Building blocks
play-creativity-toddler-1-3-drawing-and-scribbling-1,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,1,Scribble Freestyle,Scribble Freestyle,Build hand strength and freedom of expression,Give crayons and paper and allow free drawing. Build hand strength and freedom of expression.,1-3 yrs,10 min,5-10 min,High,Non-toxic crayons; Paper,,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Hand strength, Freedom of expression, Fine motor development","#ToddlerArt, #FineMotorDevelopment",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Non-toxic crayons
play-creativity-toddler-1-3-drawing-and-scribbling-2,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,2,Color Tracing Lines,Color Tracing Lines,Improve pre-writing skills,Draw thick lines and guide toddler to trace them. Improve pre-writing skills.,2-3 yrs,10-15 min,5-10 min,High,Paper; Crayons,,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Pre-writing skills, Line following, Hand control","#TracingPractice, #EarlyWriting",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Crayons
play-creativity-toddler-1-3-drawing-and-scribbling-3,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,3,Sticker Drawing Fun,Sticker Drawing Fun,Enhance spatial awareness and creativity,Use stickers along with drawing—like creating scenes and placing stickers. Enhance spatial awareness and creativity.,2-3 yrs,15 min,5-10 min,High,Paper; Stickers; Crayons,,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Spatial awareness, Creativity, Scene building","#StickersAndArt, #CreativeToddlers",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Stickers; Crayons
play-creativity-toddler-1-3-drawing-and-scribbling-4,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,4,Magic Water Drawing,Magic Water Drawing,Explore mess-free creativity,Use reusable water drawing pads for mess-free doodling. Explore mess-free creativity.,1.5-3 yrs,10 min,5-10 min,High,Water-drawing mat; Water pen,,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Mess-free creativity, Water exploration, Color discovery","#WaterArt, #MessFreeArt",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Water-drawing mat; Water pen,None needed
play-creativity-toddler-1-3-drawing-and-scribbling-5,Play & Creativity,Toddler (1-3),Beginner,,Drawing & Scribbling,Build hand strength and freedom of expression,5,Rainbow Scribbles,Rainbow Scribbles,Learn color names and explore blending,Offer multiple color crayons and guide scribbling with naming colors. Learn color names and explore blending.,2-3 yrs,10 min,5-10 min,High,Rainbow-colored crayons; Paper,,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Color learning, Color blending, Creative exploration","#ColorLearning, #ToddlerScribbles",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Rainbow-colored crayons
play-creativity-toddler-1-3-exploring-musical-instruments-1,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,1,Drumbeat Dance,Drumbeat Dance,Build rhythm and gross motor coordination,Play drum beats and let toddler dance/move with the rhythm. Build rhythm and gross motor coordination.,2-3 yrs,10-15 min,5-10 min,High,Drum or tambourine,Safe toys; Soft play area,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Rhythm, Gross motor coordination, Musical movement","#RhythmPlay, #DanceAndDrum",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Drum or tambourine
play-creativity-toddler-1-3-exploring-musical-instruments-2,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,2,Sound Matching Game,Sound Matching Game,Improve listening and memory skills,Play two different instrument sounds and have the toddler match them. Improve listening and memory skills.,2-3 yrs,10 min,5-10 min,High,Two different instruments (bell and shaker),Safe toys; Soft play area,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Listening skills, Memory, Sound recognition","#SoundMemory, #MusicalPairs",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Two different instruments (bell and shaker)
play-creativity-toddler-1-3-exploring-musical-instruments-3,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,3,Kitchen Band Jam,Kitchen Band Jam,Encourage spontaneous music-making using household items,"Use pots, spoons, tins as instruments for a fun jam session. Encourage spontaneous music-making using household items.",1.5-3 yrs,15 min,5-10 min,High,"Pots, pans, wooden spoons",Safe toys; Soft play area,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Spontaneous music-making, Rhythm creation, Kitchen creativity","#KitchenInstruments, #ToddlerBand",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,"Pots, pans, wooden spoons",None needed
play-creativity-toddler-1-3-exploring-musical-instruments-4,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,4,Musical Parade,Musical Parade,Combine movement and sound creation,March around the house playing instruments as a parade. Combine movement and sound creation.,2-3 yrs,10 min,5-10 min,High,Various instruments,Safe toys; Soft play area,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Movement and music, Parade coordination, Group play","#ToddlerParade, #MarchAndPlay",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Various instruments
play-creativity-toddler-1-3-exploring-musical-instruments-5,Play & Creativity,Toddler (1-3),Beginner,,Exploring Musical Instruments,Build rhythm and gross motor coordination,5,Name That Instrument,Name That Instrument,Associate instruments with sound identity,Play instrument sounds and ask the child to guess or name the instrument. Associate instruments with sound identity.,2.5-3 yrs,10 min,5-10 min,High,Various instruments,Safe toys; Soft play area,"Set up the activity in a safe space; Show them what to do, then let them try; Stay nearby to help if needed; Praise their efforts and creativity; Let them explore and experiment; Clean up together when finished","Sound identification, Instrument recognition, Musical vocabulary","#InstrumentSounds, #GuessTheMusic",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Various instruments
play-creativity-preschooler-3-5-imaginative-play-with-dolls-1,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,1,Doll Family Adventure,Doll Family Adventure,Build social-emotional understanding via role play,"Use dolls to mimic family routines, helping the child express relationships. Build social-emotional understanding via role play.",3-5 yrs,15-20 min,5-10 min,Medium,Doll family set; Paper; Markers,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Social-emotional understanding, Role play, Family relationships","#DollPlay, #PretendFamily, #EmotionalGrowth",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Doll family set
play-creativity-preschooler-3-5-imaginative-play-with-dolls-2,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,2,Hospital for Dolls,Hospital for Dolls,Practice empathy and care-taking,Create a pretend hospital and care for 'injured' dolls. Practice empathy and care-taking.,3-5 yrs,15 min,5-10 min,Medium,Bandages; Toy stethoscope; Dolls,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Empathy, Care-taking, Medical role play","#PretendDoctor, #EmpathyDevelopment",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Bandages; Toy stethoscope; Dolls
play-creativity-preschooler-3-5-imaginative-play-with-dolls-3,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,3,Dress-Up Fashion Show,Dress-Up Fashion Show,Encourage creativity and fine motor practice,Let kids dress up dolls and host a mini fashion show. Encourage creativity and fine motor practice.,3-5 yrs,20 min,5-10 min,Medium,Doll clothes; Dolls,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Creativity, Fine motor practice, Fashion awareness","#FashionPlay, #FineMotor, #CreativeKids",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Doll clothes,Dolls
play-creativity-preschooler-3-5-imaginative-play-with-dolls-4,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,4,Dollhouse Stories,Dollhouse Stories,Boost vocabulary and narrative skills,Use a dollhouse to create short scenes and tell mini stories. Boost vocabulary and narrative skills.,3-5 yrs,20 min,5-10 min,Medium,Dollhouse; Doll furniture,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Vocabulary, Narrative skills, Storytelling","#DollhouseTales, #LanguageSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Dollhouse; Doll furniture
play-creativity-preschooler-3-5-imaginative-play-with-dolls-5,Play & Creativity,Preschooler (3-5),Intermediate,,Imaginative Play with Dolls,Build social-emotional understanding via role play,5,Puppet Doll Drama,Puppet Doll Drama,Spark creativity and storytelling,Use hand or sock dolls to act out a mini story or moral. Spark creativity and storytelling.,3-5 yrs,15 min,5-10 min,Medium,Hand or sock puppets; Paper; Markers,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Creativity, Storytelling, Moral understanding","#SockDolls, #Storytelling",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Hand or sock puppets
play-creativity-preschooler-3-5-simple-crafting-6,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,6,Paper Plate Masks,Paper Plate Masks,Promote self-expression through crafts,Use paper plates and art supplies to create expressive masks. Promote self-expression through crafts.,3-5 yrs,15-20 min,5-10 min,Medium,Paper plates; Crayons; Feathers; Glue,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Self-expression, Crafting, Role play","#MaskMaking, #CreativePreschool",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper plates,Crayons; Feathers; Glue
play-creativity-preschooler-3-5-simple-crafting-7,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,7,Pasta Necklace Making,Pasta Necklace Making,Strengthen fine motor skills and color sorting,Use dyed pasta and string to make necklaces. Strengthen fine motor skills and color sorting.,3-5 yrs,15 min,5-10 min,Medium,Dyed pasta; String,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Fine motor skills, Color sorting, Pattern making","#FineMotor, #DIYJewelry",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Dyed pasta; String
play-creativity-preschooler-3-5-simple-crafting-8,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,8,Handprint Art,Handprint Art,Encourage sensory creativity and personal expression,Use painted handprints to make animals or flowers. Encourage sensory creativity and personal expression.,3-5 yrs,10-15 min,5-10 min,Medium,Paint; Paper; Markers,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Sensory creativity, Personal expression, Art techniques","#HandArt, #MessyFun",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Paint; Markers
play-creativity-preschooler-3-5-simple-crafting-9,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,9,Recycled Robot Craft,Recycled Robot Craft,Introduce sustainability and creative construction,Use boxes and bottle caps to make a robot. Introduce sustainability and creative construction.,4-5 yrs,20-25 min,5-10 min,Medium,Cardboard; Bottle caps; Glue,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Sustainability, Creative construction, Recycling awareness","#EcoCrafts, #RobotMaking",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Cardboard; Bottle caps,Glue
play-creativity-preschooler-3-5-simple-crafting-10,Play & Creativity,Preschooler (3-5),Intermediate,,Simple Crafting,Promote self-expression through crafts,10,Nature Collage,Nature Collage,Explore nature and spatial awareness,"Collect leaves, petals, and arrange into art on paper. Explore nature and spatial awareness.",3-5 yrs,15-20 min,5-10 min,Medium,Leaves; Petals; Paper; Glue,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Nature exploration, Spatial awareness, Collage art","#NatureArt, #OutdoorLearning",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper,Leaves; Petals; Glue
play-creativity-preschooler-3-5-role-playing-games-11,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,11,Post Office Play,Post Office Play,Introduce communication and basic writing,Pretend to write and deliver letters. Introduce communication and basic writing.,4-5 yrs,20 min,5-10 min,Medium,Small paper; Envelopes; Pencils,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Communication, Basic writing, Role play","#LetterPlay, #RoleLearning",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Small paper,Envelopes; Pencils
play-creativity-preschooler-3-5-role-playing-games-12,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,12,Firefighter Roleplay,Firefighter Roleplay,Teach about safety and responsibility,Act as firefighters putting out imaginary fires. Teach about safety and responsibility.,3-5 yrs,15 min,5-10 min,Medium,Red cap; Water spray bottle,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Safety awareness, Responsibility, Hero role play","#HeroPlay, #SafetyLearning",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Water spray bottle,Red cap
play-creativity-preschooler-3-5-role-playing-games-13,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,13,Restaurant Time,Restaurant Time,Enhance social manners and counting,"Pretend to serve food, take orders, and handle play money. Enhance social manners and counting.",3-5 yrs,20 min,5-10 min,Medium,Toy food; Play money; Table setup,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Social manners, Counting, Customer service","#ToddlerCafe, #SocialSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Table setup,Toy food; Play money
play-creativity-preschooler-3-5-role-playing-games-14,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,14,Travel the World Game,Travel the World Game,Introduce geography and diversity,Pretend to visit countries using toy passport and suitcase. Introduce geography and diversity.,4-5 yrs,20 min,5-10 min,Medium,Flags; Toy passport; Suitcase,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Geography, Cultural diversity, Language awareness","#WorldExplorer, #GlobalAwareness",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Flags; Toy passport; Suitcase
play-creativity-preschooler-3-5-role-playing-games-15,Play & Creativity,Preschooler (3-5),Intermediate,,Role-playing Games,Introduce communication and basic writing,15,Zoo Keeper for a Day,Zoo Keeper for a Day,Learn animal facts through dramatic play,Pretend to care for stuffed animals and give tours of the 'zoo'. Learn animal facts through dramatic play.,3-5 yrs,15 min,5-10 min,Medium,Animal toys; Zoo props,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Animal knowledge, Caring behavior, Public speaking","#AnimalCare, #PretendZoo",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Animal toys; Zoo props
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-16,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,16,Color Hunt,Color Hunt,Strengthen observation and color identification,Ask child to find items of a specific color around the house. Strengthen observation and color identification.,3-4 yrs,10 min,5-10 min,Medium,None required; Paper; Markers,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Observation, Color identification, Sorting","#ColorHunt, #ObservationSkills",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,None required
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-17,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,17,Shape Puzzle Fun,Shape Puzzle Fun,Enhance cognitive and visual-spatial skills,Use puzzle pieces with basic shapes and guide child to complete. Enhance cognitive and visual-spatial skills.,3-5 yrs,15 min,5-10 min,Medium,Simple shape puzzle; Paper; Markers,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Cognitive skills, Visual-spatial skills, Shape recognition","#ShapePuzzle, #PreschoolThinking",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Simple shape puzzle
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-18,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,18,Color Wheel Creation,Color Wheel Creation,Improve color mixing and creative matching,Use paper plate to make a color wheel and decorate it. Improve color mixing and creative matching.,4-5 yrs,15-20 min,5-10 min,Medium,Paper plate; Colored stickers; Markers,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Color mixing, Creative matching, Color relationships","#ColorCraft, #MixingColors",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Paper plate,Colored stickers; Markers
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-19,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,19,Match & Toss Game,Match & Toss Game,Add movement to sorting skills,Toss matching colored balls into corresponding buckets. Add movement to sorting skills.,3-4 yrs,10-15 min,5-10 min,Medium,Colored bins; Colored balls,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Movement, Sorting skills, Hand-eye coordination","#MovementLearning, #ColorToss",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Colored bins; Colored balls
play-creativity-preschooler-3-5-shape-sorting-and-color-matching-20,Play & Creativity,Preschooler (3-5),Intermediate,,Shape Sorting & Color Matching,Strengthen observation and color identification,20,DIY Sorting Board,DIY Sorting Board,Boost logic and problem-solving,Create board with cut-out shapes for matching. Boost logic and problem-solving.,3-5 yrs,15 min,5-10 min,Medium,Cardboard; Paper shapes; Scissors,,"Explain what you're going to do together; Let them help gather and set up materials; Show them the steps, then let them try; Ask questions and encourage their thinking; Help when they need it, but let them lead; Talk about what they learned or created","Logic, Problem-solving, Shape matching","#PreschoolSTEM, #LogicalPlay",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,Cardboard; Paper shapes,Scissors
play-creativity-child-6-8-creative-storytelling-1,Play & Creativity,Child (6-8),Intermediate,,Creative Storytelling,Improve narrative structure and creative writing,1,Story Dice Adventure,Story Dice Adventure,Improve narrative structure and creative writing,Use dice with pictures/symbols to create short stories. Improve narrative structure and creative writing.,6-8 yrs,20 min,5-10 min,Medium,Story dice,Basic materials; Safe play area,Explain the activity and its goals; Let them help plan and organize; Guide them through the steps; Encourage independent thinking and problem-solving; Discuss what they learned or discovered; Help them reflect on the experience,"Narrative structure, Creative writing, Story building","#Storytelling, #CreativeWriting, #DicePlay",Activity kit (supplied by us); Step-by-step guide (supplied by us); Progress tracking sheet (supplied by us),Use materials from our activity kit; Follow our step-by-step guide; Track progress on our tracking sheet; Return materials when activity is complete,2025-09-27,,Tharun,2025-09-27 11:12:02,None needed,Story dice
